hybrid_minus_s2cloudless,hybrid_minus_cloudscoreplus,s2cloudless_minus_cloudscoreplus
-0.13134379256616424,-0.1135425070193522,0.01780128554681204
-0.14425605792549523,-0.17038196617563195,-0.02612590825013672
-0.09923877354019278,-0.20804675275626988,-0.1088079792160771
-0.18189007646638988,-0.16920856775784,0.012681508708549893
-0.053444926151774375,-0.1491464318908346,-0.09570150573906022
-0.14741231610938288,-0.20195398900004502,-0.05454167289066214
-0.05384508054785231,-0.2094365363664914,-0.1555914558186391
-0.1167467007186693,-0.21840432216053116,-0.10165762144186186
-0.05961251537354051,-0.10919764195659387,-0.04958512658305336
-0.12744661559177373,-0.11641761910013432,0.011028996491639409
-0.016047430492588444,-0.16629998977373273,-0.15025255928114428
-0.04487738579464359,-0.05930530436939316,-0.014427918574749565
-0.15137810676069674,-0.1493117911631538,0.002066315597542945
-0.051428349666234,-0.2164915890091167,-0.1650632393428827
-0.13080819292732615,-0.2468065080471813,-0.11599831511985514
-0.21999267039696202,-0.3578054025175097,-0.13781273212054768
-0.020260129864055787,-0.19346061113623936,-0.17320048127218357
-0.07110746708952076,-0.20217524950870625,-0.13106778241918549
-0.12019329997868178,-0.12269292090630796,-0.0024996209276261783
-0.025089546632790893,-0.12050510850450075,-0.09541556187170985
-0.08540026460498179,-0.24336469129766575,-0.15796442669268396
-0.14948716299246806,-0.2737660770933054,-0.12427891410083736
-0.12036157232777545,-0.1560609790844667,-0.035699406756691254
-0.14805451186549795,-0.2552188455826753,-0.10716433371717737
-0.08365821189534878,-0.1162247598056454,-0.03256654791029662
-0.09211570140025765,-0.18254246124159523,-0.09042675984133758
-0.057464196315073324,-0.2753043001577005,-0.2178401038426272
-0.11984540771956231,-0.11090458599699554,0.008940821722566772
-0.11808036975328812,-0.2125766522889263,-0.09449628253563819
-0.03412648463157886,-0.22422305154047373,-0.19009656690889487
-0.09378051802796261,-0.0857846831211222,0.007995834906840416
-0.17799330873445085,-0.3236501448198565,-0.14565683608540564
-0.13042046083580439,-0.11414307674172286,0.016277384094081526
-0.09491874399231165,-0.250912426124101,-0.15599368213178932
-0.10374978703214677,-0.31971835073071664,-0.21596856369856987
-0.0427966238096531,-0.19148777208741785,-0.14869114827776475
-0.10185690455095997,-0.1294910655955827,-0.02763416104462274
-0.07207339864980117,-0.21454075791865446,-0.1424673592688533
-0.07680652738854143,-0.2306381049834661,-0.15383157759492466
-0.14832770250093075,-0.28482331299229696,-0.13649561049136621
-0.05238357379596886,-0.2631679321091706,-0.21078435831320175
-0.08848287064006538,-0.23172819121969473,-0.14324532057962935
-0.08142654946774336,-0.2139264167128631,-0.13249986724511975
-0.05737092426356438,-0.23151327734671767,-0.1741423530831533
-0.012009781214358028,-0.11069847999299914,-0.09868869877864112
-0.05871995768838173,-0.10450973372231931,-0.04578977603393758
-0.09565463571053368,-0.060804171330684165,0.03485046437984951
-0.06214699384604616,-0.10653783664815952,-0.04439084280211336
-0.04722527417928435,-0.23499172472604624,-0.1877664505467619
-0.12206506773518705,-0.2245129603231092,-0.10244789258792214
-0.10608100187334646,-0.2424384866709302,-0.13635748479758375
-0.12887025669203006,-0.22401872475239326,-0.0951484680603632
-0.11564179032971772,-0.21163823892062977,-0.09599644859091205
-0.11789685899444713,-0.27235384527948975,-0.15445698628504262
-0.16691975371277312,-0.16065322940083082,0.006266524311942301
-0.06458102174425356,-0.16679790030184127,-0.10221687855758771
-0.08674693231867203,-0.2129461162215855,-0.12619918390291346
-0.04394224789271356,-0.16500391507281775,-0.1210616671801042
-0.0943560560496407,-0.2089961766808237,-0.114640120631183
-0.08385132757888958,-0.27276821729194123,-0.18891688971305165
-0.08326429574265515,-0.11407681658827395,-0.030812520845618807
-0.07605152520584452,-0.188526242095724,-0.11247471688987948
-0.15255183639137354,-0.12809321675906504,0.024458619632308498
-0.07006983896078683,-0.2135738672256816,-0.14350402826489478
-0.06960072734021866,-0.23560435074155817,-0.1660036234013395
-0.11522089127908136,-0.20476007642641708,-0.08953918514733572
0.00619455815714004,-0.06836641762777046,-0.0745609757849105
-0.09080381886698169,-0.12121282936603078,-0.030409010499049094
-0.05928951778699271,-0.19288451804080575,-0.13359500025381305
-0.13840317476819403,-0.2802345735190398,-0.14183139875084577
-0.08017599759390298,-0.19494644943652584,-0.11477045184262286
-0.10955335650067655,-0.28180284958552065,-0.1722494930848441
-0.07596761512594824,-0.10576962610573848,-0.02980201097979024
-0.04275505888989328,-0.19421321577367912,-0.15145815688378583
-0.10185690455095997,-0.21636485582184634,-0.11450795127088637
-0.08926089107219298,-0.24566198542695078,-0.1564010943547578
-0.10757541015668698,-0.11610876098415807,-0.008533350827471087
-0.10951649864702001,-0.1943038982429885,-0.08478739959596848
-0.1087605227982752,-0.17854604700884258,-0.06978552421056738
-0.11930946525717473,-0.16763179212934326,-0.04832232687216853
-0.05262767408702573,-0.1566069601627344,-0.10397928607570867
-0.03868752777233697,-0.2676666643952268,-0.22897913662288982
-0.10845944677733793,-0.12314878939981433,-0.014689342622476398
-0.1936079600096804,-0.2285669670232528,-0.03495900701357241
-0.07746499187744654,-0.16198863183185275,-0.0845236399544062
-0.0991785142115833,-0.26676362026122685,-0.16758510604964355
-0.05488235823331705,-0.2552188455826753,-0.20033648734935827
-0.06154799922611337,-0.20933265517457117,-0.1477846559484578
-0.09107190436394819,-0.13013000435228533,-0.03905809998833715
-0.08175247938348329,-0.19677041488036529,-0.115017935496882
-0.05077824703383105,-0.21951591291154093,-0.16873766587770989
-0.05352159695787856,-0.21539802511788037,-0.1618764281600018
-0.10841173701879664,-0.23168783627240475,-0.1232760992536081
-0.011778053328548699,-0.0850819256361362,-0.0733038723075875
-0.1500739268332532,-0.09324768144989415,0.056826245383359064
-0.11967074356716573,-0.2104089163723037,-0.09073817280513796
-0.07004899944783355,-0.21485238269859014,-0.1448033832507566
-0.09903093265679147,-0.29417675531757664,-0.19514582266078517
-0.08350383829702343,-0.15032300100599108,-0.06681916270896765
-0.010877178321929581,-0.22943292987719394,-0.21855575155526435
-0.11146512210017823,-0.199725568159148,-0.08826044605896977
0.011549258824310016,-0.07057851659516035,-0.08212777541947036
-0.1204160719652817,-0.1698536871338856,-0.0494376151686039
-0.10585720159793771,-0.231504390944286,-0.12564718934634828
0.026596778285614686,-0.07342516391971876,-0.10002194220533345
-0.15594342092987928,-0.2483904146219078,-0.09244699369202852
-0.1543017037803553,-0.18096435461033955,-0.026662650829984258
-0.12191317302065308,-0.2820240930166098,-0.16011091999595672
-0.07597197623541574,-0.2334743622726208,-0.15750238603720507
-0.04346888321060427,-0.11407681658827395,-0.07060793337766968
-0.09392406518894592,-0.1924453885181221,-0.09852132332917618
